"Year","Headline","ConflictTypes","Country","Region","Description","Text","SeverityIndex","ConflictTypeNumeric"
1998,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1998,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
1999,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1999,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
2000,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
2000,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
2000,"Settlers attack a village in Palestine, injuring civilians and cutting water supply","Casualty","Palestine","Western Asia","In a village in Palestine, three Palestinians are injured by gunshots from Israeli settlers. The same settlers also cut the water supply to the village by damaging the pipes.","Settlers attack a village in Palestine, injuring civilians and cutting water supply In a village in Palestine, three Palestinians are injured by gunshots from Israeli settlers. The same settlers also cut the water supply to the village by damaging the pipes.",2,2
2000,"Israeli settlers are accused of intentionally releasing sewage to contaminate Palestinian agricultural fields in the West Bank","Weapon","Palestine","Western Asia","Israeli settlers from Efrat are blamed for deliberately releasing sewer water into Palestinian agricultural fields in the West Bank.","Israeli settlers are accused of intentionally releasing sewage to contaminate Palestinian agricultural fields in the West Bank Israeli settlers from Efrat are blamed for deliberately releasing sewer water into Palestinian agricultural fields in the West Bank.",2,1
2000,"A man is arrested for attempted poisoning of community water supply in Turkey","Weapon","Turkey","Western Asia","A man is arrested for attempted poisoning of the water supply for the village of Kurusaray, Turkey.","A man is arrested for attempted poisoning of community water supply in Turkey A man is arrested for attempted poisoning of the water supply for the village of Kurusaray, Turkey.",3,1
2001,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
2001,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
2001,"Palestinians destroy water supply to Israeli settlements","Casualty","Israel, Palestine","Western Asia","Palestinians destroy water supply pipelines to the West Bank settlement of Yitzhar and to Kibbutz Kissufim. The Agbat Jabar refugee camp near Jericho disconnects from its water supply after Palestinians loot and damage local water pumps. Palestinians accuse Israel of destroying a water cistern, blocking water tanker deliveries, and attacking materials for a wastewater treatment project.","Palestinians destroy water supply to Israeli settlements Palestinians destroy water supply pipelines to the West Bank settlement of Yitzhar and to Kibbutz Kissufim. The Agbat Jabar refugee camp near Jericho disconnects from its water supply after Palestinians loot and damage local water pumps. Palestinians accuse Israel of destroying a water cistern, blocking water tanker deliveries, and attacking materials for a wastewater treatment project.",2,2
2001,"Bombing disrupts Lebanese water supplies","Casualty","Lebanon","Western Asia","Water supplies to more than 20 towns are disrupted after a bomb explodes near the town of Baalbek in Lebanon.","Bombing disrupts Lebanese water supplies Water supplies to more than 20 towns are disrupted after a bomb explodes near the town of Baalbek in Lebanon.",2,2
2002,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
2002,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
2003,"What does Iraq's crisis mean for oil?","Trigger","Iraq","Western Asia","Islamist militant gains in Iraq, and a threatened move on Baghdad, have created a sense of fear in oil markets.
The UN said hundreds have been killed as the Sunni-led Islamists advanced into Diyala province in the east - near Iran and close to the capital - having seized Mosul and Tikrit to the north.
Militants have also invaded Iraq's biggest oil refinery at Baiji after a siege lasting a week.
Led by the Islamic State in Iraq and the Levant (ISIS), the insurgents have threatened to push to regions further south dominated by Iraq's Shia Muslim majority, whom they regard as ""infidels"". Saudi arabia increased its oil production to compensate for potential supply shortages and help stabilise prices.","What does Iraq's crisis mean for oil? Islamist militant gains in Iraq, and a threatened move on Baghdad, have created a sense of fear in oil markets.
The UN said hundreds have been killed as the Sunni-led Islamists advanced into Diyala province in the east - near Iran and close to the capital - having seized Mosul and Tikrit to the north.
Militants have also invaded Iraq's biggest oil refinery at Baiji after a siege lasting a week.
Led by the Islamic State in Iraq and the Levant (ISIS), the insurgents have threatened to push to regions further south dominated by Iraq's Shia Muslim majority, whom they regard as ""infidels"". Saudi arabia increased its oil production to compensate for potential supply shortages and help stabilise prices.",3,0
2003,"Water systems damaged in US-Iraq war","Casualty","Iraq","Western Asia","During the US-led invasion of Iraq, water systems are reportedly damaged or destroyed by different parties, and major dams are military objectives of the US forces. Damage directly attributable to the war includes vast segments of the water distribution system and the Baghdad water system, damaged by a missile.","Water systems damaged in US-Iraq war During the US-led invasion of Iraq, water systems are reportedly damaged or destroyed by different parties, and major dams are military objectives of the US forces. Damage directly attributable to the war includes vast segments of the water distribution system and the Baghdad water system, damaged by a missile.",1,2
2003,"Insurgents bomb Iraq pipeline","Casualty","Iraq","Western Asia","Insurgents bomb a main water pipeline in Baghdad. City engineers say this is the first strike against Baghdad's water system during the Iraq War, which began in March 2003. The bombing occurs around seven in the morning, when a blue Volkswagen Passat stops on an overpass near the Nidaa mosque and an explosive is fired at the six-foot-wide water main in the northern part of Baghdad, said Hayder Muhammad, the chief engineer for the city's water treatment plants.","Insurgents bomb Iraq pipeline Insurgents bomb a main water pipeline in Baghdad. City engineers say this is the first strike against Baghdad's water system during the Iraq War, which began in March 2003. The bombing occurs around seven in the morning, when a blue Volkswagen Passat stops on an overpass near the Nidaa mosque and an explosive is fired at the six-foot-wide water main in the northern part of Baghdad, said Hayder Muhammad, the chief engineer for the city's water treatment plants.",2,2
2003,"Iraqi water treatment plant damaged","Casualty","Iraq","Western Asia","The Abu Nawas pumping station on the Tigris River, which supplies water to Sadr City and other treatment plants in Baghdad, is severely damaged during the 2003 conflict.","Iraqi water treatment plant damaged The Abu Nawas pumping station on the Tigris River, which supplies water to Sadr City and other treatment plants in Baghdad, is severely damaged during the 2003 conflict.",1,2
2003,"Bomb explosion breaks water main, forcing water supply shutoff to Baghdad","Casualty","Iraq","Western Asia","A bomb placed near a water main line explodes, breaking the pipe and forcing engineers to shut off the water supply to the entire city of Baghdad, Iraq. Major flooding in the surrounding neighborhood is caused as well.","Bomb explosion breaks water main, forcing water supply shutoff to Baghdad A bomb placed near a water main line explodes, breaking the pipe and forcing engineers to shut off the water supply to the entire city of Baghdad, Iraq. Major flooding in the surrounding neighborhood is caused as well.",3,2
2003,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
2003,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
2003,"Iraq attempts to poison water at US base","Weapon","Jordan","Western Asia","Jordanian authorities arrest Iraqi agents in connection with a botched plot to poison the water supply that serves American troops in the eastern Jordanian desert near the border with Iraq. The scheme involved poisoning a water tank that supplies American soldiers at a military base in Khao, which lies in an arid region of the eastern frontier near the industrial town of Zarqa.","Iraq attempts to poison water at US base Jordanian authorities arrest Iraqi agents in connection with a botched plot to poison the water supply that serves American troops in the eastern Jordanian desert near the border with Iraq. The scheme involved poisoning a water tank that supplies American soldiers at a military base in Khao, which lies in an arid region of the eastern frontier near the industrial town of Zarqa.",1,1
2004,"Missionaries working on a water project attacked","Casualty","Iraq","Western Asia","Four Christian missionaries from the U.S. are killed and one other seriously wounded when they are attacked while working on a water project in Mosul, Iraq.","Missionaries working on a water project attacked Four Christian missionaries from the U.S. are killed and one other seriously wounded when they are attacked while working on a water project in Mosul, Iraq.",2,2
2004,"Driver killed while transporting water","Casualty","Iraq","Western Asia","A driver of a truck transporting mineral water in Mosul, Iraq is killed when his truck is set on fire.","Driver killed while transporting water A driver of a truck transporting mineral water in Mosul, Iraq is killed when his truck is set on fire.",3,2
2004,"Four people employed by the water and sewage department kidnapped","Casualty","Iraq","Western Asia","Three engineers and one contractor, employed by the city water and sewage board, are kidnapped in Kirkuk, Iraq. No reports could be found detailing the outcome of the kidnapping.","Four people employed by the water and sewage department kidnapped Three engineers and one contractor, employed by the city water and sewage board, are kidnapped in Kirkuk, Iraq. No reports could be found detailing the outcome of the kidnapping.",1,2
2004,"US halts water projects in Gaza","Weapon","Palestine","Western Asia","The United States halts two water development projects as punishment to the Palestinian Authority for their failure to find those responsible for a deadly attack on a US diplomatic convoy in October 2003.","US halts water projects in Gaza The United States halts two water development projects as punishment to the Palestinian Authority for their failure to find those responsible for a deadly attack on a US diplomatic convoy in October 2003.",3,1
2005,"Water pipeline attacked with bomb","Casualty","Iraq","Western Asia","A bomb placed near a water pipeline explodes, causing it to break. That same day, two nearby oil pipelines are also attacked.","Water pipeline attacked with bomb A bomb placed near a water pipeline explodes, causing it to break. That same day, two nearby oil pipelines are also attacked.",1,2
2005,"Car bomb near water services director kills one","Casualty","Iraq","Western Asia","A car bomb placed near the Kirkuk city water services director detonates, killing one person and injuring at least 17 others in Kirkuk, Iraq.","Car bomb near water services director kills one A car bomb placed near the Kirkuk city water services director detonates, killing one person and injuring at least 17 others in Kirkuk, Iraq.",2,2
2005,"Bomb placed at a water station explodes prematurely and kills both attackers","Casualty","Iraq","Western Asia","A bomb at a water station explodes prematurely, killing the two men placing the bomb.","Bomb placed at a water station explodes prematurely and kills both attackers A bomb at a water station explodes prematurely, killing the two men placing the bomb.",1,2
2005,"Water pipeline targeted in attack in Baghdad","Casualty","Iraq","Western Asia","A water pipeline is damaged by a targeted explosion, disrupting water services to approximately two million people in Baghdad, Iraq.","Water pipeline targeted in attack in Baghdad A water pipeline is damaged by a targeted explosion, disrupting water services to approximately two million people in Baghdad, Iraq.",2,2
2005,"Power station damaged, taking down some of Baghdad's water distribution system","Casualty","Iraq","Western Asia","A power station in Tarmiyah, Iraq is damaged by a fire, disabling a portion of Baghdad's water distribution system.","Power station damaged, taking down some of Baghdad's water distribution system A power station in Tarmiyah, Iraq is damaged by a fire, disabling a portion of Baghdad's water distribution system.",2,2
2005,"Three Iraqis killed while driving water to an army base","Casualty","Iraq","Western Asia","A group of three Iraqi men are shot and killed while transporting water to a military base near Taji, Iraq.","Three Iraqis killed while driving water to an army base A group of three Iraqi men are shot and killed while transporting water to a military base near Taji, Iraq.",3,2
2005,"Six employees of a water utility found murdered inside the water treatment plant","Casualty","Iraq","Western Asia","Six employees of a water utility in Baghdad are found murdered inside a water treatment plant. The actual date of their deaths is not known.","Six employees of a water utility found murdered inside the water treatment plant Six employees of a water utility in Baghdad are found murdered inside a water treatment plant. The actual date of their deaths is not known.",4,2
2005,"Gunman take out electric lines, disrupting water service in Baghdad","Casualty","Iraq","Western Asia","Electric lines that provide power for water supply services in Baghdad, Iraq are shot down by a gunman, causing a disruption to water services. These same power lines had been recently fixed after suffering from a similar attack in the months prior.","Gunman take out electric lines, disrupting water service in Baghdad Electric lines that provide power for water supply services in Baghdad, Iraq are shot down by a gunman, causing a disruption to water services. These same power lines had been recently fixed after suffering from a similar attack in the months prior.",3,2
2005,"A mortar round hits a water facility","Casualty","Iraq","Western Asia","A mortar round hits a water facility in Baghdad, Iraq, resulting in a disruption of water supply to residents serviced by the facility. No one claims responsibility for the attack.","A mortar round hits a water facility A mortar round hits a water facility in Baghdad, Iraq, resulting in a disruption of water supply to residents serviced by the facility. No one claims responsibility for the attack.",2,2
2005,"Gunmen attack civilians working on a water project","Casualty","Iraq","Western Asia","Gunmen attack civilians working on a water project in Al-Faris, Iraq, killing 18 and wounding 22. No group claims responsibility for the shooting.","Gunmen attack civilians working on a water project Gunmen attack civilians working on a water project in Al-Faris, Iraq, killing 18 and wounding 22. No group claims responsibility for the shooting.",2,2
2005,"Rocket lands near an Israeli national water company facility","Casualty","Israel","Western Asia","In one of two incidents in Israel on this day (cf. 200512120003), a Qassam rocket lands near a facility belonging to the Israeli national water company, Mekorot, in the western Negev desert. There are no injuries or damages resulting from the strike.","Rocket lands near an Israeli national water company facility In one of two incidents in Israel on this day (cf. 200512120003), a Qassam rocket lands near a facility belonging to the Israeli national water company, Mekorot, in the western Negev desert. There are no injuries or damages resulting from the strike.",3,2
2006,"Unsuccessful targeting of water pipeline","Casualty","Iraq","Western Asia","A water pipeline in Baghdad is targeted by an explosive device placed nearby. However, the explosion does not damage the pipeline.","Unsuccessful targeting of water pipeline A water pipeline in Baghdad is targeted by an explosive device placed nearby. However, the explosion does not damage the pipeline.",1,2
2006,"Employee of Iraq's Ministry of Water Resources killed","Casualty","Iraq","Western Asia","An employee of the Ministry of Water Resources in Iraq is killed by a gunman.","Employee of Iraq's Ministry of Water Resources killed An employee of the Ministry of Water Resources in Iraq is killed by a gunman.",3,2
2006,"Explosive device aimed for water supply detonates early, killing two, wounding one","Casualty","Iraq","Western Asia","An explosive device targeting a water main in Kirkuk, Iraq, detonates prematurely, killing two and injuring one of the attackers.","Explosive device aimed for water supply detonates early, killing two, wounding one An explosive device targeting a water main in Kirkuk, Iraq, detonates prematurely, killing two and injuring one of the attackers.",2,2
2006,"Two water truck drivers killed","Casualty","Iraq","Western Asia","The drivers of a water truck are killed in Baghdad, Iraq by a gunman while driving for work.","Two water truck drivers killed The drivers of a water truck are killed in Baghdad, Iraq by a gunman while driving for work.",3,2
2006,"Director of water project killed","Casualty","Iraq","Western Asia","The director of the Baqubah water project, Husayn Ali Atiyah, is killed by gunmen. The attack is considered part of a larger effort to undermine the Iraqi reconstruction process.","Director of water project killed The director of the Baqubah water project, Husayn Ali Atiyah, is killed by gunmen. The attack is considered part of a larger effort to undermine the Iraqi reconstruction process.",3,2
2006,"Government official killed","Casualty","Iraq","Western Asia","A government official working with the water authority in Kirkuk, Iraq is killed.","Government official killed A government official working with the water authority in Kirkuk, Iraq is killed.",3,2
2006,"Gunmen blow up the pipes of a drinking water treatment plant running to the U.S. Ayn al-Asad base","Casualty","Iraq","Western Asia","Gunmen blow up the pipes of a drinking water treatment plant running to the U.S. Ayn al-Asad base. Clashes rage between the gunmen and members of the plant's security, and are followed by explosions that lead to the destruction of the plant's water pumps and power generators. No group claims responsibility for the attack.","Gunmen blow up the pipes of a drinking water treatment plant running to the U.S. Ayn al-Asad base Gunmen blow up the pipes of a drinking water treatment plant running to the U.S. Ayn al-Asad base. Clashes rage between the gunmen and members of the plant's security, and are followed by explosions that lead to the destruction of the plant's water pumps and power generators. No group claims responsibility for the attack.",1,2
2006,"Rocket attack damages a Mekorot water station, Israel","Casualty","Israel","Western Asia","Palestinian Islamic Jihad (PIJ) claims responsibility for a rocket attack, which is aimed at Ashkelon, Israel, but lands in an industrial area just south of Ashkelon, damaging a Mekorot water station, causing no injuries.","Rocket attack damages a Mekorot water station, Israel Palestinian Islamic Jihad (PIJ) claims responsibility for a rocket attack, which is aimed at Ashkelon, Israel, but lands in an industrial area just south of Ashkelon, damaging a Mekorot water station, causing no injuries.",2,2
2006,"Lebanon, Israel target water infrastructure in attacks","Casualty","Israel, Lebanon","Western Asia","Hezbollah rockets damage a wastewater plant in Israel. Israeli counter-attacks damage water systems throughout southern Lebanon, including tanks, pipes, pumping stations, and facilities along the Litani River.","Lebanon, Israel target water infrastructure in attacks Hezbollah rockets damage a wastewater plant in Israel. Israeli counter-attacks damage water systems throughout southern Lebanon, including tanks, pipes, pumping stations, and facilities along the Litani River.",2,2
2006,"Armed clashes in Yemen","Trigger","Yemen","Western Asia","Local media report a struggle between Hajja and Amran tribes over a well located between the two governorates in Yemen. According to news reports, armed clashes between the two sides force many families to leave their homes and migrate. News reports confirm that authorities had arrested 20 people in an attempt to stop the fighting.","Armed clashes in Yemen Local media report a struggle between Hajja and Amran tribes over a well located between the two governorates in Yemen. According to news reports, armed clashes between the two sides force many families to leave their homes and migrate. News reports confirm that authorities had arrested 20 people in an attempt to stop the fighting.",2,0
2007,"Workers fixing a water pipe killed","Casualty","Iraq","Western Asia","Two workers fixing a water pipe in Baghdad, Iraq, are killed in an event that is reported as either a drive-by shooting or a bomb explosion. The pipeline was being fixed from an attack a month earlier.","Workers fixing a water pipe killed Two workers fixing a water pipe in Baghdad, Iraq, are killed in an event that is reported as either a drive-by shooting or a bomb explosion. The pipeline was being fixed from an attack a month earlier.",1,2
2007,"Mortar fired at water treatment plant","Casualty","Iraq","Western Asia","A mortar is fired at a water treatment plant in Baghdad, Iraq. No casualties are reported.","Mortar fired at water treatment plant A mortar is fired at a water treatment plant in Baghdad, Iraq. No casualties are reported.",2,2
2007,"Director-general of water projects killed by gunmen","Casualty","Iraq","Western Asia","The director-general of water projects in Badush, Iraq is shot and killed by gunmen.","Director-general of water projects killed by gunmen The director-general of water projects in Badush, Iraq is shot and killed by gunmen.",3,2
